L,p_error,num_success
11,0.000808081,0,999
11,0.00121212,0,999
11,0.00161616,0,1000
11,0.0020202,0,1000
11,0.00242424,0,1000
11,0.00282828,0,998
11,0.00323232,0,1000
11,0.00363636,0,1000
11,0.0040404,0,1000
11,0.00444444,0,1000
11,0.00484848,0,999
11,0.00525253,0,999
11,0.00565657,0,1000
11,0.00606061,0,1000
11,0.00646465,0,1000
11,0.00686869,0,1000
11,0.00727273,0,1000
11,0.00767677,0,999
11,0.00808081,0,999
11,0.00848485,0,1000
11,0.00888889,0,1000
11,0.00929293,0,999
11,0.00969697,0,1000
11,0.010101,0,1000
11,0.0105051,0,1000
11,0.0109091,0,1000
11,0.0113131,0,1000
11,0.0117172,0,1000
11,0.0121212,0,999
11,0.0125253,0,1000
11,0.0129293,0,1000
11,0.0133333,0,1000
11,0.0137374,0,999
11,0.0141414,0,1000
11,0.0145455,0,1000
11,0.0149495,0,1000
11,0.0153535,0,1000
11,0.0157576,0,1000
11,0.0161616,0,999
11,0.0165657,0,1000
11,0.0169697,0,1000
11,0.0173737,0,
